customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,Age,Age Group,address,postcode,state,country,property_valuation,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_segment,segment_rank,name,total_sales
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,No,1.0,17.0,Under 20,9861 New Castle Avenue,2428.0,NSW,Australia,9.0,35,6,1728.3900000000003,3,2,1,321,Late Bloomer,6,Erroll Radage,4923.34
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,Unknown,Mass Customer,Yes,18.0,41.0,40-49,52 Moland Street,3331.0,VIC,Australia,4.0,99,5,4521.839999999999,1,2,4,124,Almost Lost Customer,9,Harlin Parr,7763.79
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,Unknown,Affluent Customer,Yes,15.0,56.0,50-59,82391 Kensington Lane,3058.0,VIC,Australia,9.0,0,5,2015.61,4,2,2,422,Becoming Loyal,3,Heath Faraday,4676.1900000000005
18,Marjie,Neasham,Female,79,1967-07-06,Professor,Unknown,Affluent Customer,No,11.0,50.0,50-59,092 2nd Alley,2135.0,NSW,Australia,12.0,134,7,3543.38,1,3,3,133,Almost Lost Customer,9,Marjie Neasham,8878.62
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,No,1.0,17.0,Under 20,59 Spaight Circle,2233.0,NSW,Australia,9.0,102,3,2951.79,1,1,3,113,Evasive Customer,10,Sorcha Keyson,4238.1900000000005
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,No,11.0,37.0,30-39,032 Bartelt Crossing,2444.0,NSW,Australia,8.0,31,4,3608.2799999999997,3,1,3,313,Late Bloomer,6,Basile Firth,6618.86
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,37.0,30-39,18 Jenna Center,2650.0,NSW,Australia,7.0,6,5,4229.41,4,2,4,424,Becoming Loyal,3,Mile Cammocke,7446.21
22,Deeanne,Durtnell,Female,79,1962-12-10,Unknown,IT,Mass Customer,No,11.0,55.0,50-59,,,,,,97,7,4286.95,1,3,4,134,Almost Lost Customer,9,Deeanne Durtnell,8076.91
23,Olav,Polak,Male,43,1995-02-10,Unknown,Unknown,High Net Worth,Yes,1.0,23.0,20-29,,,,,,10,7,4376.15,4,3,4,434,Very Loyal,2,Olav Polak,8415.53
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,40.0,40-49,3 Cordelia Plaza,2153.0,NSW,Australia,10.0,17,8,3689.35,4,4,3,443,Very Loyal,2,Kim Skpsey,8078.950000000001
25,Geoff,Assaf,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,41.0,40-49,28 5th Center,4413.0,QLD,Australia,3.0,5,12,5333.66,4,4,4,444,Platinum Customer,1,Geoff Assaf,9996.33
26,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,Yes,16.0,40.0,40-49,52 Carey Alley,4740.0,QLD,Australia,5.0,113,3,268.2399999999999,1,1,1,111,Lost Customer,11,Trixi Ginnelly,3943.12
27,Garvin,Klees,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,Yes,12.0,39.0,30-39,96 Texas Plaza,3218.0,VIC,Australia,7.0,143,7,3274.25,1,3,3,133,Almost Lost Customer,9,Garvin Klees,7679.97
28,Fee,Zellmer,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,44.0,40-49,48 Eagan Avenue,4868.0,QLD,Australia,4.0,83,6,3366.5600000000004,2,2,3,223,High Risk Customer,8,Fee Zellmer,5492.900000000001
29,Mona,Sancraft,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,No,19.0,50.0,50-59,9 Buell Park,4116.0,QLD,Australia,7.0,22,9,6175.299999999999,3,4,4,344,Recent Customer,4,Mona Sancraft,10855.57
30,Darrick,Helleckas,Male,18,1961-10-18,Unknown,IT,Affluent Customer,Yes,6.0,56.0,50-59,02663 Buell Parkway,2519.0,NSW,Australia,11.0,11,3,2633.9499999999994,4,1,2,412,Recent Customer,4,Darrick Helleckas,3736.5199999999995
31,Star,Praton,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,55.0,50-59,2294 Pleasure Place,2135.0,NSW,Australia,12.0,89,4,426.10999999999996,1,1,1,111,Lost Customer,11,Star Praton,3110.0
32,Marion,Vanichkin,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,23.0,20-29,2951 Petterle Place,2756.0,NSW,Australia,9.0,138,7,2823.12,1,3,2,132,Almost Lost Customer,9,Marion Vanichkin,7873.18
33,Ernst,Hacon,Male,44,1957-06-25,Product Engineer,Unknown,Affluent Customer,Yes,11.0,61.0,60-69,63 Lukken Drive,2170.0,NSW,Australia,9.0,38,6,5150.45,3,2,4,324,Potential Customer,5,Ernst Hacon,8808.96
35,Margaretha,Strettle,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,Yes,16.0,54.0,50-59,34 Russell Plaza,4127.0,QLD,Australia,6.0,92,4,3706.51,1,1,3,113,Evasive Customer,10,Margaretha Strettle,4182.28
36,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,Unknown,Affluent Customer,No,22.0,40.0,40-49,78 Del Sol Hill,2535.0,NSW,Australia,8.0,163,2,204.35999999999999,1,1,1,111,Lost Customer,11,Lurette Stonnell,1781.04
37,Laurie,Dwerryhouse,Female,46,1985-12-22,Social Worker,Health,High Net Worth,No,16.0,32.0,30-39,54 Sage Plaza,4726.0,QLD,Australia,1.0,7,9,6338.489999999999,4,4,4,444,Platinum Customer,1,Laurie Dwerryhouse,11291.71
38,Cordi,Merman,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,No,20.0,62.0,60-69,90 Lawn Parkway,4805.0,QLD,Australia,4.0,50,4,2025.34,2,1,2,212,High Risk Customer,8,Cordi Merman,4502.59
39,Hunfredo,Smalley,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,No,22.0,39.0,30-39,38726 Ilene Crossing,2212.0,NSW,Australia,10.0,34,12,6085.17,3,4,4,344,Recent Customer,4,Hunfredo Smalley,11237.19
40,Tomasine,Jerche,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14.0,36.0,30-39,3496 Brown Drive,2207.0,NSW,Australia,8.0,14,6,4552.1,4,2,4,424,Becoming Loyal,3,Tomasine Jerche,6175.2699999999995
41,Basilius,Coupe,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,No,16.0,42.0,40-49,7188 Cody Way,3350.0,VIC,Australia,9.0,29,8,4531.68,3,4,4,344,Recent Customer,4,Basilius Coupe,8570.1
42,Chiquita,Durnall,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,No,18.0,41.0,40-49,1 Claremont Park,3931.0,VIC,Australia,10.0,111,4,427.04,1,1,1,111,Lost Customer,11,Chiquita Durnall,1936.46
43,Indira,Belt,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,No,5.0,35.0,30-39,60 Eagan Circle,4018.0,QLD,Australia,8.0,61,9,3619.95,2,4,3,243,Losing Customer,7,Indira Belt,6574.59
44,Neron,Verick,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17.0,36.0,30-39,89314 Eagle Crest Center,4670.0,QLD,Australia,2.0,35,7,4768.28,3,3,4,334,Potential Customer,5,Neron Verick,7497.4
45,Trace,Woodhead,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,No,8.0,42.0,40-49,2028 Lakewood Place,2480.0,NSW,Australia,3.0,43,3,1048.1499999999999,3,1,1,311,Late Bloomer,6,Trace Woodhead,2912.33
46,Kaila,Allin,Female,98,1972-02-26,Unknown,Unknown,Affluent Customer,Yes,15.0,46.0,40-49,70875 Hudson Point,3212.0,VIC,Australia,6.0,53,5,1623.6299999999997,2,2,1,221,High Risk Customer,8,Kaila Allin,4923.139999999999
47,Matthew,Jeaycock,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,No,2.0,25.0,20-29,543 Killdeer Park,2322.0,NSW,Australia,4.0,35,7,4332.19,3,3,4,334,Potential Customer,5,Matthew Jeaycock,8022.01
48,Rebbecca,Casone,Female,46,1975-08-15,Biostatistician II,Unknown,Mass Customer,Yes,8.0,42.0,40-49,22125 Ramsey Drive,3198.0,VIC,Australia,9.0,82,8,5561.08,2,4,4,244,Losing Customer,7,Rebbecca Casone,9654.119999999999
49,Nolly,Ownsworth,Male,63,1994-01-26,VP Quality Control,Unknown,Affluent Customer,No,1.0,24.0,20-29,3107 Calypso Terrace,2210.0,NSW,Australia,9.0,36,5,4248.68,3,2,4,324,Potential Customer,5,Nolly Ownsworth,7582.92
50,Whitby,Schapero,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,Yes,16.0,37.0,30-39,957 Veith Junction,2047.0,NSW,Australia,10.0,26,8,5783.66,3,4,4,344,Recent Customer,4,Whitby Schapero,9252.66
51,Fidelio,Dilke,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,No,18.0,58.0,50-59,4853 Gulseth Avenue,4503.0,QLD,Australia,5.0,55,8,4855.400000000001,2,4,4,244,Losing Customer,7,Fidelio Dilke,9667.460000000001
52,Curran,Bentson,Male,57,1988-06-22,Unknown,Financial Services,Mass Customer,Yes,13.0,30.0,30-39,9 Michigan Terrace,2145.0,NSW,Australia,8.0,4,7,5417.83,4,3,4,434,Very Loyal,2,Curran Bentson,10106.57
53,Agnella,Gocke,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,No,16.0,64.0,60-69,62 Steensland Road,4350.0,QLD,Australia,3.0,7,5,2950.0699999999997,4,2,3,423,Becoming Loyal,3,Agnella Gocke,5472.74
54,Loralyn,Wonfor,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,Yes,18.0,51.0,50-59,6 Homewood Avenue,2142.0,NSW,Australia,8.0,67,7,4098.21,2,3,3,233,Losing Customer,7,Loralyn Wonfor,9813.66
55,Linc,Jillions,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,Yes,7.0,61.0,60-69,15 Almo Lane,2029.0,NSW,Australia,10.0,46,8,3220.86,2,4,3,243,Losing Customer,7,Linc Jillions,6754.21
56,Reese,Ensor,Male,44,1996-07-04,VP Sales,Property,Mass Customer,Yes,4.0,21.0,20-29,690 Glacier Hill Circle,2127.0,NSW,Australia,10.0,2,7,1275.2399999999998,4,3,1,431,Becoming Loyal,3,Reese Ensor,5060.86
57,Abba,Masedon,Male,87,1988-06-13,Chief Design Engineer,Unknown,Mass Customer,Yes,13.0,30.0,30-39,89787 Village Green Terrace,4280.0,QLD,Australia,6.0,35,6,5117.96,3,2,4,324,Potential Customer,5,Abba Masedon,8748.75
58,Dalenna,Pinnock,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,Yes,17.0,50.0,50-59,18 Elgar Park,2166.0,NSW,Australia,9.0,20,8,3501.37,3,4,3,343,Potential Customer,5,Dalenna Pinnock,6967.3099999999995
59,Niki,Heathcote,Male,60,2000-02-08,Physical Therapy Assistant,Unknown,High Net Worth,No,3.0,18.0,Under 20,413 Mayer Street,2046.0,NSW,Australia,9.0,22,3,2628.37,3,1,2,312,Late Bloomer,6,Niki Heathcote,2797.47
60,Nadiya,Champerlen,Female,18,1970-02-04,Unknown,Manufacturing,Mass Customer,No,10.0,48.0,40-49,39 3rd Drive,2026.0,NSW,Australia,10.0,200,2,647.22,1,1,1,111,Lost Customer,11,Nadiya Champerlen,1526.9
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,No,13.0,58.0,50-59,44516 Katie Parkway,2765.0,NSW,Australia,7.0,47,7,4254.24,2,3,4,234,Losing Customer,7,Kacey Rowbottom,8397.28
62,Sorcha,Roggers,Female,38,1979-07-06,Unknown,IT,Mass Customer,Yes,22.0,38.0,30-39,41 Schurz Center,2749.0,NSW,Australia,8.0,5,6,4920.88,4,2,4,424,Becoming Loyal,3,Sorcha Roggers,5845.950000000001
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,Yes,16.0,52.0,50-59,68150 Boyd Road,2745.0,NSW,Australia,9.0,68,3,2190.05,2,1,2,212,High Risk Customer,8,Ebony Zini,4156.66
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,No,4.0,40.0,40-49,11474 Westend Hill,3752.0,VIC,Australia,8.0,3,5,546.6799999999998,4,2,1,421,Becoming Loyal,3,Gerek Yve,4111.12
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,Yes,15.0,42.0,40-49,308 Jana Crossing,2153.0,NSW,Australia,10.0,136,6,4441.61,1,2,4,124,Almost Lost Customer,9,Yale Tanser,8056.469999999999
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,No,1.0,16.0,Under 20,163 Straubel Trail,2217.0,NSW,Australia,10.0,43,4,3333.8599999999997,3,1,3,313,Late Bloomer,6,Anselm Gawne,5199.48
67,Vernon,,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,No,18.0,58.0,50-59,68294 Clarendon Crossing,2230.0,NSW,Australia,10.0,116,5,1203.2899999999997,1,2,1,121,Evasive Customer,10,Vernon,5304.15
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,Unknown,Affluent Customer,No,9.0,44.0,40-49,486 Mariners Cove Plaza,3046.0,VIC,Australia,7.0,84,3,3842.559999999999,2,1,3,213,High Risk Customer,8,Dahlia Eddoes,5127.98
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,Unknown,Mass Customer,No,6.0,49.0,40-49,0322 Dryden Court,3183.0,VIC,Australia,7.0,20,6,5294.75,3,2,4,324,Potential Customer,5,Heidi Milner,8395.75
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,No,8.0,25.0,20-29,9 Bonner Road,2070.0,NSW,Australia,12.0,4,5,2736.9,4,2,2,422,Becoming Loyal,3,Foster Vannoort,4801.11
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,Yes,12.0,33.0,30-39,07041 Briar Crest Lane,2213.0,NSW,Australia,10.0,131,1,155.6500000000001,1,1,1,111,Lost Customer,11,Hoyt Glavias,1415.01
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,Yes,16.0,46.0,40-49,29466 Hanson Pass,4208.0,QLD,Australia,6.0,22,5,2559.7799999999997,3,2,2,322,Late Bloomer,6,Sammy Cheese,4360.42
73,Minette,Worters,Female,16,1960-05-27,Teacher,Unknown,Affluent Customer,Yes,5.0,58.0,50-59,0212 Forest Run Trail,2774.0,NSW,Australia,8.0,168,6,2316.5099999999998,1,2,2,122,Evasive Customer,10,Minette Worters,5265.87
74,Pansy,Kiddie,Female,94,1969-06-19,Unknown,Unknown,Mass Customer,Yes,6.0,49.0,40-49,33055 Menomonie Parkway,4133.0,QLD,Australia,8.0,28,3,966.5200000000001,3,1,1,311,Late Bloomer,6,Pansy Kiddie,2985.64
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,No,19.0,39.0,30-39,4763 Merchant Avenue,2756.0,NSW,Australia,8.0,60,8,4979.94,2,4,4,244,Losing Customer,7,Dollie Sealy,7130.63
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,Yes,18.0,40.0,40-49,439 Ridgeway Court,4213.0,QLD,Australia,9.0,1,8,2868.16,4,4,3,443,Very Loyal,2,Rea Hasser,7425.04
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,No,7.0,28.0,20-29,2 Clyde Gallagher Lane,4170.0,QLD,Australia,5.0,101,3,1657.58,1,1,1,111,Lost Customer,11,Shermie Andrin,2964.73
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8.0,33.0,30-39,97455 Loeprich Lane,2153.0,NSW,Australia,9.0,211,2,82.25999999999999,1,1,1,111,Lost Customer,11,Arch Van der Kruis,1139.12
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,No,18.0,49.0,40-49,9527 Ridgeway Street,2073.0,NSW,Australia,10.0,43,6,2597.46,3,2,2,322,Late Bloomer,6,Tybi Silliman,6761.43
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,No,13.0,40.0,40-49,7 Jackson Point,3561.0,VIC,Australia,1.0,28,10,5988.86,3,4,4,344,Recent Customer,4,Pablo Small,12564.82
81,Bee,Blazewicz,Female,58,1986-09-04,Unknown,Health,High Net Worth,No,13.0,31.0,30-39,74 Anniversary Junction,2330.0,NSW,Australia,6.0,4,4,3249.02,4,1,3,413,Recent Customer,4,Bee Blazewicz,4421.7
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,No,19.0,53.0,50-59,2083 Spaight Court,3977.0,VIC,Australia,8.0,78,5,2924.37,2,2,3,223,High Risk Customer,8,Gleda Cokely,5293.91
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,Yes,18.0,51.0,50-59,2796 Caliangt Circle,2204.0,NSW,Australia,12.0,80,6,1798.2,2,2,1,221,High Risk Customer,8,Kerr Simmell,4464.65
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,Unknown,Mass Customer,Yes,14.0,60.0,60-69,96061 Ludington Place,2086.0,NSW,Australia,11.0,28,7,2295.2200000000003,3,3,2,332,Potential Customer,5,Rich Mathiasen,5464.650000000001
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,Unknown,Mass Customer,No,8.0,60.0,60-69,5037 Merchant Crossing,2226.0,NSW,Australia,11.0,37,6,563.3699999999999,3,2,1,321,Late Bloomer,6,Kane Tixall,3158.6299999999997
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,Yes,7.0,29.0,20-29,289 Haas Street,2075.0,NSW,Australia,11.0,0,9,2360.09,4,4,2,442,Very Loyal,2,Job Sleney,7319.35
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,No,8.0,44.0,40-49,4423 Bartelt Parkway,2038.0,NSW,Australia,12.0,18,9,3740.7599999999998,3,4,3,343,Potential Customer,5,Fields Langdon,7994.73
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,Yes,7.0,52.0,50-59,5 Grim Center,2069.0,NSW,Australia,12.0,74,6,2534.33,2,2,2,222,High Risk Customer,8,Malynda Tumber,5550.83
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,Yes,14.0,51.0,50-59,73042 Roth Crossing,2100.0,NSW,Australia,11.0,4,9,5779.650000000001,4,4,4,444,Platinum Customer,1,Benedicto Hoxey,12741.44
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,No,11.0,33.0,30-39,171 Fordem Junction,2233.0,NSW,Australia,10.0,30,7,2990.73,3,3,3,333,Potential Customer,5,Cary Garron,7703.58
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17.0,63.0,60-69,2640 Manley Point,2166.0,NSW,Australia,9.0,9,8,5242.410000000001,4,4,4,444,Platinum Customer,1,Dylan Meaker,8066.4400000000005
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,No,12.0,37.0,30-39,3 Hintze Pass,3133.0,VIC,Australia,10.0,34,3,2967.4399999999996,3,1,3,313,Late Bloomer,6,Jodee Judkins,5098.43
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,Yes,10.0,41.0,40-49,2 Mcbride Road,3070.0,VIC,Australia,10.0,79,3,2976.4099999999994,2,1,3,213,High Risk Customer,8,Gordon Gowar,5276.129999999999
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,No,21.0,43.0,40-49,67234 Transport Hill,2777.0,NSW,Australia,7.0,33,7,4902.21,3,3,4,334,Potential Customer,5,Wallache Simchenko,8305.77
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,Yes,8.0,57.0,50-59,72 Dorton Crossing,3133.0,VIC,Australia,10.0,38,4,3050.809999999999,3,1,3,313,Late Bloomer,6,Nomi Mallinder,5049.799999999999
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15.0,49.0,40-49,6 Heffernan Center,2125.0,NSW,Australia,11.0,70,4,1135.25,2,1,1,211,Almost Lost Customer,9,Heath Olford,3874.84
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10.0,38.0,30-39,6088 Roxbury Hill,2766.0,NSW,Australia,8.0,102,8,4911.21,1,4,4,144,Almost Lost Customer,9,Arne Corain,8895.95
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,No,7.0,62.0,60-69,105 Shelley Alley,2209.0,NSW,Australia,10.0,122,5,1930.5600000000002,1,2,2,122,Evasive Customer,10,Allianora Babalola,6180.05
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,No,3.0,20.0,20-29,079 Merry Park,2160.0,NSW,Australia,9.0,2,9,4557.65,4,4,4,444,Platinum Customer,1,Reggie Mulliner,8279.06
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,Yes,4.0,50.0,50-59,8722 Summit Alley,2065.0,NSW,Australia,12.0,11,2,877.4,4,1,1,411,Recent Customer,4,Tripp Steed,2748.2
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,No,11.0,42.0,40-49,9554 Artisan Pass,2150.0,NSW,Australia,10.0,8,4,2589.8899999999994,4,1,2,412,Recent Customer,4,Goran Kwietek,4309.82
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,No,16.0,61.0,60-69,55850 Butterfield Road,2168.0,NSW,Australia,9.0,42,7,2587.0099999999998,3,3,2,332,Potential Customer,5,Langsdon Tranfield,6659.22
103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,Yes,4.0,21.0,20-29,68 Little Fleur Crossing,2046.0,NSW,Australia,12.0,49,5,913.3199999999999,2,2,1,221,High Risk Customer,8,Ethyl Runham,4909.84
104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,Yes,9.0,40.0,40-49,85688 New Castle Crossing,4171.0,QLD,Australia,10.0,64,9,3550.2600000000007,2,4,3,243,Losing Customer,7,Odille Panketh,8985.64
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,No,1.0,16.0,Under 20,8611 Loomis Lane,2155.0,NSW,Australia,10.0,89,4,3475.0399999999995,1,1,3,113,Evasive Customer,10,Maribeth Pristnor,6234.35
106,Glyn,,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,Yes,18.0,51.0,50-59,7909 Pierstorff Crossing,2517.0,NSW,Australia,9.0,1,3,2513.69,4,1,2,412,Recent Customer,4,Glyn,2906.16
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,Yes,9.0,28.0,20-29,01 Muir Parkway,2096.0,NSW,Australia,12.0,81,4,2343.9700000000003,2,1,2,212,High Risk Customer,8,Pris Stallebrass,3345.1000000000004
